10797460,5850,1.04,291.93423,48.141651
10811496,5853,0.868,297.00482,48.134129
10848459,5795,0.803,285.53461,48.28521
10854555,6031,1.046,288.75488,48.2262
10872983,6046,0.972,296.28613,48.22467
10910878,5126,0.742,286.99948,48.37579
11446443,5850,0.95,286.80847,49.316399
10666592,6350,1.991,292.24728,47.969521
6922244,6225,1.451,281.28812,42.45108
10984090,5803,1.073,295.64871,48.49556
10480982,6117,0.947,295.81454,47.69035
10526549,4856,0.696,288.13824,47.724449
10583066,4536,0.693,283.71088,47.86327
10601284,5559,0.806,292.37613,47.880989